Total Magnitude;order
41069;Dipodascales
1538;Pleuronectiformes
1508;Dipodascales
1490;Unknown
1364;Batrachoidiformes
1311;Eurotiales
1105;Characiformes
972;Eurotiales
920;Eurotiales
562;Hymenoptera
395;Primates
373;Squamata
359;Phyllodocida
332;Coleoptera
325;Coleoptera
302;Charadriiformes
297;Trombidiformes
269;Coleoptera
259;Diptera
258;Sarcoptiformes
244;Pichiales
166;Anura
136;Lepidoptera
122;Ostreida
111;Eurotiales
100;Phasmatodea
94;Flavobacteriales
91;Rhytismatales
90;Eurotiales
85;Rodentia
82;Eurotiales
78;Mucorales
72;Orectolobiformes
72;Primates
65;Hymenoptera
60;Agaricostilbales
57;Bacteria_none_none_none_none
55;Proboscidea
53;Galliformes
50;Diptera
47;Decapoda
42;Cypriniformes
38;Amphipoda
38;Caudata
37;Lepidoptera
33;Coleoptera
31;Beloniformes
30;Lecanorales
28;Dipodascales
28;Tubificida
27;Coleoptera
27;Hymenoptera
24;Crassiclitellata
24;Opiliones
23;Rodentia
22;Plagiorchiida
21;Hemiptera
21;Stomiiformes
18;Bacillales
18;Decapoda
17;Squamata
16;Eurotiales
16;Cypriniformes
15;Coleoptera
15;Hemiptera
15;Lepidoptera
15;Rodentia
14;Eurotiales
14;Opiliones
14;Diptera
14;Hymenoptera
14;Decapoda
13;Cladosporiales
12;Serinales
12;Thecostraca_Incertae_sedis
12;Venerida
11;Coleoptera
10;Coleoptera
10;Hymenoptera
10;Anguilliformes
10;Anura
1900;Anguilliformes
3560;Perciformes
3000;Cypriniformes
213;Cypriniformes
2500;Gonorynchiformes
2500;Perciformes
1300;Perciformes
2500;Perciformes
2500;Perciformes
1500;Perciformes
2500;Perciformes
2500;Perciformes
1000;Perciformes
2500;Perciformes
560;Perciformes
552;Perciformes
553;Perciformes
564;Perciformes
645;Gobiiformes
4546;Gobiiformes
545;Gobiiformes
545;Gobiiformes
3315;Perciformes
655;Naididae
235;Enchytraeidae
20;Tricladida
355;Naididae
8445;Euglenales
120;Haemosporida
500;Haemosporida
