Total Magnitude;genus
41069;Blastobotrys
1538;Solea
1508;Geotrichum
1490;Unknown
1364;Austrobatrachus
1311;Aspergillus
1105;Bryconamericus
972;Aspergillus
920;Aspergillus
562;Eucera
395;Homo
373;Gehyra
359;Glycera
332;Lucanus
325;Alphitobius
302;Actitis
297;Microtrombidiidae_Incertae_sedis
269;Tomoxia
259;Dolichopodidae_Incertae_sedis
258;Tyroborus
244;Pichia
166;Gephyromantis
136;Lepidoptera_Incertae_sedis
122;Ostrea
111;Aspergillus
100;Timema
94;Mangrovimonas
91;Spathularia
90;Aspergillus
85;Rattus
82;Aspergillus
78;Backusella
72;Hemiscyllium
72;Theropithecus
65;Trachymyrmex
60;Sterigmatomyces
57;Bacteria_none_none_none_none_none_none
55;Mammut
53;Perdix
50;Chironomidae_Incertae_sedis
47;Pasiphaea
42;Physoschistura
38;Amphipoda_Incertae_sedis
38;Lissotriton
37;Tinea
33;Echinodera
31;Oryzias
30;Imshaugia
28;Magnusiomyces
28;Limnodrilus
27;Holotrichia
27;Diadasia
24;Amynthas
24;Pachylibunus
23;Mus
22;Dicrocoelium
21;Eoeurysa
21;Bathophilus
18;Bacillus
18;Aegla
17;Zamenis
16;Paecilomyces
16;Erromyzon
15;Allophylax
15;Singhiella
15;Xylodryadella
15;Callospermophilus
14;Penicillium
14;Cobania
14;Efferia
14;Nomioides
14;Lithoscaptus
13;Cladosporium
12;Kurtzmaniella
12;Heterosaccus
12;Leukoma
11;Cyclorhipidion
10;Pyrocoelia
10;Stenodynerus
10;Rhynchoconger
10;Boulenophrys
1900;Anguilla
3560;Ambassis
3000;Carassius
213;Carassius
2500;Chanos
2500;Epinephelus
1300;Epinephelus
2500;Epinephelus
2500;Assiculus
1500;Apogon
2500;Apogon
2500;Ostorhinchus
1000;Caesio
2500;Leiognathus
560;Leiognathus
552;Lutjanus
553;Lutjanus
564;Lutjanus
645;Glossogobius
4546;Glossogobius
545;Glossogobius
545;Glossogobius
3315;Gerres
655;Aelosoma
235;Unidentified
20;Planaria
355;Limnodrilus
8445;Euglena
120;Plasmodium
500;Plasmodium
